rank,wcaId,name,single,average,single_score,average_score
2082,2015THOM08,Kent Thomson,575.81,621.62,48.45,49.09
2083,2016SUZU03,Andrés Hisashi,575.83,612.09,48.44,50.59
2084,2017HEIS02,Dominic Heising,575.97,616.41,48.42,49.91
2085,2016COST03,João Pedro,576.0,616.6,48.41,49.88
2086,2010MICH03,"Michael
Name: name,",576.15,629.22,48.39,47.9
2087,2016MCAT01,Gerard McAteer,576.43,629.28,48.34,47.89
2088,2017LIUJ21,Joy Liou,576.48,614.08,48.33,50.28
2089,2014PATE01,Manan Patel,576.51,616.79,48.33,49.85
2090,2010COOK01,Taylor Cookmeyer,576.55,626.88,48.32,48.26
2091,2019TRAN11,Leon Tran,576.64,616.47,48.3,49.9
2092,2016HAGN01,Rasmus Hagnäs,576.84,631.88,48.27,47.49
2093,2018SEMY01,Igor Semyonov,577.05,675.4,48.23,41.08
2094,2012ARNO02,Brennan Arnold,577.19,623.82,48.21,48.74
2095,2018NEVE02,Adrien Neveu,577.27,643.25,48.2,45.76
2096,2019MATY01,Oskar Matysik,577.3,615.59,48.19,50.04
2097,2018SUYU04,Yuwen Su,577.71,613.11,48.12,50.43
2098,2016SHEV01,Dmitriy Shevchenko,577.8,649.81,48.11,44.77
2099,2016RUNN01,Adam Runninger,577.82,627.18,48.1,48.22
2100,2014CAST02,Carlos Javier,577.93,613.93,48.09,50.3
2101,2016CARA04,Kristian Gil,578.01,642.95,48.07,45.8
2102,2016NUNE15,Valentino Nuñez,578.38,621.63,48.01,49.08
2103,2017CIRA01,Thaddeus Ciras,578.58,619.47,47.97,49.42
2104,2017JINJ01,Jiatong Jin,578.62,632.07,47.97,47.46
2105,2016MASI01,Marcos Masini,578.77,629.75,47.94,47.82
2106,2010JUNL02,Leow Yi,578.78,645.57,47.94,45.41
2107,2016GARC10,Raphael Christian,578.8,633.05,47.94,47.31
2108,2017PADI06,Juan Camilo,578.85,617.26,47.93,49.77
2109,2012DOED01,John Doeden,578.85,633.03,47.93,47.31
2110,2015LEEI01,In Guk,578.87,646.67,47.93,45.24
2111,2009KEEY01,Chen Kee,579.51,630.69,47.82,47.67
2112,2011MONT01,Eric Fernandes,580.44,605.35,47.66,51.68
2113,2016CHEY12,Yikang Chen,580.63,641.68,47.63,45.99
2114,2012MART05,Oleg Martynov,580.76,632.32,47.61,47.42
2115,2014ARYS01,Ilyas Arystanbekov,580.77,613.18,47.6,50.42
2116,2009ZHAN62,Haowei Zhang,580.79,618.81,47.6,49.53
2117,2018ALEX06,Michael Alexander,580.81,617.95,47.6,49.66
2118,2017INSF01,Renato José,580.85,630.34,47.59,47.73
2119,2018MALA02,Dmitriy Malahov,581.32,622.91,47.51,48.88
2120,2016CHAV18,José Chávez,581.63,624.5,47.46,48.63
2121,2013LIUY05,Yinjie Liu,581.67,616.84,47.45,49.84
2122,2013JIWE01,Wei Ji,581.7,637.53,47.45,46.62
2123,2016AMRH01,Dominic Amrhein,581.72,616.7,47.44,49.86
2124,2016LINP04,Penghe Lin,581.72,607.83,47.44,51.28
2125,2015PARD02,Marvin Orlando,581.73,642.41,47.44,45.88
2126,2016MEYE02,Christian Meyer,581.79,615.16,47.43,50.11
2127,2016MCKE05,Samuel McKelvey,581.8,622.11,47.43,49.01
2128,2011RETZ02,Stefan Retzlaff,582.16,623.89,47.37,48.73
2129,2010FRAN04,Mattia Francardi,582.21,607.24,47.36,51.37
2130,2018ROFF01,Kai Roff,582.26,602.04,47.35,52.21
2131,2014STOP01,Renato Stopic,582.36,657.98,47.34,43.57
2132,2017HIES01,Esdras Rodolfo,582.39,621.62,47.33,49.09
2133,2018ZHEN42,Weikang Zheng,582.63,611.47,47.29,50.69
2134,2015KENN01,Devin Kennedy,582.87,640.6,47.25,46.16
2135,2014KRAM02,Konstantin Krämer,582.88,612.52,47.25,50.53
2136,2017TOMA08,Franco Tomaselli,582.91,651.27,47.24,44.56
2137,2016BAUT01,Kenn Mick,582.91,649.11,47.24,44.88
2138,2012YAOJ01,Jiawei Yao,583.08,623.69,47.21,48.76
2139,2012GONZ06,Kevin Gonzalez,583.09,622.66,47.21,48.92
2140,2021TRIP01,Michael Tripodi,583.33,634.24,47.17,47.13
2141,2015RUSN01,Ethan Rusnak,583.39,652.3,47.16,44.4
2142,2012CORO01,Giovanny Coronado,583.4,641.13,47.16,46.08
2143,2015ARJA01,Juho Arjanne,583.67,623.58,47.12,48.78
2144,2016HONG07,Junxiang Hong,583.96,625.96,47.07,48.41
2145,2016AMIN02,Aidar Aminev,584.37,642.68,47.0,45.84
2146,2014CAMP02,Rhys Campbell,584.42,620.27,46.99,49.3
2147,2005FUNG01,Michael Fung,584.55,635.07,46.97,47.0
2148,2014XULI01,Linxiao Xu,584.57,636.82,46.96,46.73
2149,2015ZHAO07,Xun Zhao,584.85,617.23,46.92,49.78
2150,2016MULL05,Dartagnan Mullins,584.92,651.86,46.91,44.47
2151,2016SIMO03,Lucca Emmanuel,584.98,612.94,46.9,50.46
2152,2017FITZ01,Colm Fitz,585.0,659.65,46.89,43.33
2153,2012CHEN14,Yanhong Chen,585.01,634.22,46.89,47.13
2154,2016ABAE01,Fedor Abaev,585.12,623.26,46.87,48.83
2155,2017VARG05,Jeffrey Varga,585.15,624.68,46.87,48.61
2156,2017LUND04,Karla Struer,585.22,641.85,46.86,45.97
2157,2018JUNS01,Kim Junsu,585.23,624.36,46.85,48.66
2158,2005KOSE01,Fumiki Koseki,585.43,614.86,46.82,50.15
2159,2013WANG12,Li Wang,585.5,615.84,46.81,50.0
2160,2018WANH28,Huiyuan Wang,585.6,623.84,46.79,48.74
2161,2014REYE09,Christopher Murillo,585.97,636.51,46.73,46.78
2162,2014NICH02,Dalton Nichols,586.15,641.4,46.7,46.04
2163,2016MEND23,Daniel Méndez,586.31,633.57,46.67,47.23
2164,2013DANA01,Danang Adianto,586.44,614.4,46.65,50.23
2165,2016OLSO01,Alec Olson,586.5,623.16,46.64,48.84
2166,2017MCGO02,Scott McGowan,586.73,630.58,46.6,47.69
2167,2016AGUI15,Jaime Aguilera,586.9,611.43,46.58,50.7
2168,2017PIWA01,Wayne Pi,587.09,632.58,46.54,47.38
2169,2016WHEA01,Oliver Wheat,587.15,640.8,46.53,46.13
2170,2009TSEM01,Ming Tse,587.19,660.05,46.53,43.27
2171,2017MENG07,Xiang Meng,587.36,631.08,46.5,47.61
2172,2019KLEV01,Patrick Kleverlaan,587.77,644.82,46.43,45.52
2173,2015ZHOU07,Qi Zhou,587.96,640.33,46.4,46.2
2174,2019CLER02,Sofian De,587.98,650.37,46.4,44.69
2175,2007STRO01,Sarah Strong,588.0,636.43,46.39,46.79
2176,2016NYCZ01,Marcel Nycz,588.26,631.42,46.35,47.56
2177,2014LITI01,Tianli Li,588.33,626.52,46.34,48.32
2178,2017BOND07,Sofiya Bondarenko,588.33,643.1,46.34,45.78
2179,2013DELA01,Michael DeLaRosa,588.38,635.52,46.33,46.93
2180,2016LYHO01,Theo Lyholm,588.4,635.97,46.33,46.86
2181,2016FIOR01,Giovane Rubin,588.57,653.01,46.3,44.3
2182,2010LIJI02,Jiyanglin Li,588.7,643.3,46.28,45.75
2183,2014BRED02,Birk Bredland,588.78,622.11,46.26,49.01
2184,2017HUAN24,Yilin Huang,588.94,641.88,46.24,45.96
2185,2017ZHAJ12,Jiangshan Zha,589.12,618.12,46.21,49.64
2186,2015IYER03,Ansh Iyer,589.14,664.7,46.2,42.6
2187,2014NISH04,Shintaro Nishijo,589.28,622.08,46.18,49.01
2188,2010NGUY44,Nguyễn Việt,589.29,648.98,46.18,44.9
2189,2017LAIN01,Santeri Laine,589.52,646.65,46.14,45.25
2190,2016ANON04,"Anonymous
Name: name,",589.61,630.54,46.12,47.7
2191,2015HENR02,Luis Alonso,589.62,637.35,46.12,46.65
2192,2017WONG13,Andy Wong,589.88,610.16,46.08,50.9
2193,2019GUOY04,Yutao Guo,589.92,630.21,46.07,47.75
2194,2012GABO01,Julien Gaboriaud,590.03,654.63,46.05,44.06
2195,2018SIDH02,Dilshawn Sidhu,590.06,631.02,46.05,47.62
2196,2010SARD01,Andrea Lo,590.27,616.94,46.02,49.82
2197,2018MYER03,Josh Myers,590.28,626.72,46.01,48.29
2198,2011MOLI01,Alberto Masó,590.56,639.09,45.97,46.39
2199,2010URRE01,Jose Urrego-Gomez,590.62,624.86,45.96,48.58
2200,2013RAMO01,Ruben Ramos,590.62,666.8,45.96,42.3
2201,2017SUDA02,"Gabriel
Name: name,",590.64,614.94,45.95,50.14
2202,2014CAIL01,Lincheng Cai,590.66,642.0,45.95,45.94
2203,2016SZYS02,Stanisław Szyszka,590.79,632.88,45.93,47.34
2204,2017WANZ07,Zhijian Wang,590.8,620.25,45.93,49.3
2205,2017GONZ39,Perry Nathaniel,590.95,645.06,45.9,45.48
2206,2014LIKA01,Kaiyi Li,591.08,619.61,45.88,49.4
2207,2015CECE01,André Gustavo,591.08,639.44,45.88,46.33
2208,2009IWAS01,Sachio Iwasaki,591.17,632.58,45.87,47.38
2209,2014ADCO01,Ben Adcock,591.23,629.58,45.86,47.84
2210,2018KONS02,Petar Petrov,591.32,644.72,45.84,45.53
2211,2017KLAU01,William Klauer,591.6,629.34,45.8,47.88
2212,2011GREE03,Adam Greenwood,591.65,620.03,45.79,49.34
2213,2018SAZO03,Alexander Sazonov,591.65,643.32,45.79,45.75
2214,2015KLEI05,Evie Klein,591.66,651.86,45.79,44.47
2215,2017STOK03,Thomas Stokes,591.67,625.98,45.78,48.4
2216,2012LUZI01,Zihou Lu,591.74,645.23,45.77,45.46
2217,2016ZHAZ01,Zhiyuan Zhang,591.76,651.57,45.77,44.51
2218,2011SHAO01,Qianqian Shao,591.78,657.1,45.77,43.7
2219,2015JOLL02,Acchyut Jolly,591.92,632.73,45.74,47.36
2220,2017LIYI09,Yihua Li,591.96,623.99,45.74,48.71
2221,2018KUCZ01,Lucas Kuczaj,591.99,651.7,45.73,44.49
2222,2017BALS01,Yannick Balsiger,592.04,624.2,45.72,48.68
2223,2014SUNY02,Yuhao Sun,592.2,629.67,45.7,47.83
2224,2018BAGD01,Tamerlan Bagdatov,592.24,635.29,45.69,46.97
2225,2009HEDI01,Claes Hedin,592.25,652.27,45.69,44.41
2226,2013VONK01,Wesley Vonk,592.37,647.35,45.67,45.14
2227,2018SUTA01,Jayson Sutanto,592.37,637.36,45.67,46.65
2228,2016PATT02,Nicholas Patterson,592.42,622.56,45.66,48.94
2229,2011PETE04,Trevor Petersen,592.42,654.04,45.66,44.15
2230,2017SONN02,Nguyễn Tuệ,592.42,626.73,45.66,48.29
2231,2018TORR05,Juan Carlos,592.48,655.59,45.65,43.92
2232,2018FREN01,Patrick French,592.72,656.21,45.61,43.83
2233,2010CHOO02,JianHan Choong,592.94,649.59,45.57,44.81
2234,2016ROJA03,José Cruz,593.13,628.89,45.54,47.95
2235,2012ZOUX01,Xianqian Zou,593.17,639.58,45.54,46.31
2236,2016PETE13,Chris Peters,593.23,684.58,45.53,39.81
2237,2016BAME01,Michael Bame,593.24,645.99,45.53,45.34
2238,2017HOGA01,Ben Hogan,593.32,631.77,45.51,47.51
2239,2017MORE09,Alonso Moreno,593.38,631.39,45.5,47.56
2240,2014BROD03,Tyler Brodzinski,593.42,646.09,45.5,45.33
2241,2017MAND13,Francisco Moraes,593.57,670.09,45.47,41.83
2242,2016MCLA02,Connor McLaughlin,593.59,652.59,45.47,44.36
2243,2017NORR01,Timo Norrkniivilä,593.8,643.05,45.43,45.79
2244,2009LEIS01,Jonathan Leistner,594.04,646.54,45.39,45.26
2245,2008YUNS02,Yunsu Nam,594.08,625.35,45.39,48.5
2246,2016HELI01,Linyang He,594.27,636.89,45.36,46.72
2247,2015CLAU02,Carson Claud,594.53,648.55,45.31,44.96
2248,2009OHRN01,Laura Ohrndorf,594.55,647.99,45.31,45.04
2249,2017PIHE01,Remo Pihel,594.64,727.41,45.3,34.29
2250,2018SIQU01,Javier Siquité,594.72,648.49,45.28,44.97
2251,2010BART01,Paolo Bartolucci,594.73,640.29,45.28,46.2
2252,2012WALK02,Adam Walker,594.75,631.3,45.28,47.58
2253,2017XIEE01,Edward Xie,594.76,639.29,45.28,46.36
2254,2009ORYL01,Michał Orylski,594.94,640.46,45.25,46.18
2255,2016XUYU01,Yuan Xu,595.12,627.75,45.22,48.13
2256,2012MICK01,Willi Mickein,595.18,666.85,45.21,42.29
2257,2018WEIS10,Serafim Weiß,595.31,630.67,45.19,47.68
2258,2019CLEM01,Maddie Clemmons,595.46,649.07,45.16,44.88
2259,2017SUNC03,Chen-Pin Sun,595.56,650.0,45.14,44.75
2260,2014CHEN23,Chi-Tung Chen,595.83,653.76,45.1,44.19
2261,2016BREW03,Damien Brewer,595.84,621.21,45.1,49.15
2262,2011LIJU01,Junlong Li,596.07,628.07,45.06,48.08
2263,2006PAWL01,Kamil Pawlak,596.27,661.69,45.03,43.03
2264,2017YANG28,Lincoln Lim,596.28,642.56,45.03,45.86
2265,2018SIDO01,Dmitry Sidorenko,596.36,657.9,45.01,43.58
2266,2008WOJT01,Marek Wójtowicz,596.45,668.17,45.0,42.1
2267,2019DAMB03,Noah Søkilde,596.72,626.67,44.96,48.3
2268,2011DERS01,Ramón Dersch,596.92,636.55,44.92,46.77
2269,2012LIDI01,Di Li,597.04,652.0,44.9,44.45
2270,2014LAGA02,Bille Janssen,597.12,644.1,44.89,45.63
2271,2015CLEM03,Pauline Clémenceau,597.17,656.8,44.88,43.74
2272,2012BRED01,Ulrik Bredland,597.35,673.95,44.85,41.28
2273,2017JENS01,Austin Jensen,597.4,645.24,44.84,45.46
2274,2016FOME02,Oleg Fomenkov,597.88,642.01,44.77,45.94
2275,2018RUSS07,Salvatore Russo,597.91,672.08,44.76,41.55
2276,2010SENG01,Yong Rong,597.96,637.65,44.75,46.6
2277,2017SHAK07,Raman Shakya,597.96,657.71,44.75,43.61
2278,2015PATO01,Alasdair Paton,598.2,644.42,44.71,45.58
2279,2014NOVO01,Tomáš Novotný,598.3,644.39,44.7,45.58
2280,2016SAIN04,Toby Sainthouse,598.49,627.02,44.67,48.24
2281,2010FANY01,Yiqun Fan,598.65,639.37,44.64,46.34
2282,2017CHAN44,Vincent Chan,598.65,633.65,44.64,47.22
2283,2006AUST01,Greg Austin,598.83,650.04,44.61,44.74
2284,2018SCHI05,Philipp Schiemer,599.0,654.31,44.58,44.11
2285,2016MEND07,Alfredo Vasquez,599.13,630.77,44.56,47.66
2286,2009CHRI03, ,599.25,644.79,44.54,45.52
2287,2012GRAY01,Enoch Gray,599.41,634.21,44.52,47.13
2288,2007ESTE01,Isagani Esteron,599.41,656.98,44.52,43.72
2289,2015KAMY01,Ivan Kamyshan,599.42,670.04,44.52,41.83
2290,2017HERM01,Daniel Anker,599.46,645.58,44.51,45.41
2291,2017WILL11,Benjamin Williams,599.54,618.77,44.5,49.53
2292,2010WUYU02,Yulun Wu,599.54,642.47,44.5,45.87
2293,2018DATN03,Nguyễn Thành,599.86,643.85,44.45,45.67
2294,2014BLAI02,Mayron Blain,599.94,653.15,44.43,44.28
2295,2016OCHO03,Aquiles Sánchez,599.96,639.42,44.43,46.34
2296,2013VERM02,Kornél Vermes,600.03,700.55,44.42,37.67
2297,2016WOJC02,Paweł Wojciechowski,600.59,638.8,44.33,46.43
2298,2017BELT01,Sergio Antonio,600.7,647.59,44.31,45.1
2299,2013HUAN19,Hongjia Huang,600.73,631.2,44.3,47.59
2300,2008TSAI01,Ming-Huan Tsai,600.98,655.6,44.26,43.92
2301,2017ARRE04,Brian Bernabé,601.07,641.01,44.25,46.09
2302,2009HUAN03,Wei-Hao Huang,601.23,671.94,44.22,41.56
2303,2016LINB01,Brennen Lin,601.3,633.25,44.21,47.28
2304,2017STAR04,Silas Starling,601.32,654.1,44.21,44.14
2305,2016NAKA02,Kento Nakai,601.4,644.21,44.2,45.61
2306,2015STEV03,Ethan Stevens,601.45,654.52,44.19,44.08
2307,2018ZHAO55,Zhouyu Zhao,601.46,651.47,44.19,44.53
2308,2010HWAN02,Andrew Hwang,601.74,650.42,44.14,44.68
2309,2017FLOR01,Lucciano Florez,601.97,713.43,44.1,36.01
2310,2007YOUN04,Ko Youngjin,602.36,663.34,44.04,42.79
2311,2008KARL02,Moritz Karl,602.38,692.01,44.04,38.8
2312,2016DEIB01,Carson Deibert,602.55,668.43,44.01,42.06
2313,2018LANG04,Christian Manuel,602.65,648.68,43.99,44.94
2314,2017ENKH01,Amarsanaa Enkhbaatar,602.74,638.44,43.98,46.48
2315,2015CURM01,Nejc Ian,602.77,648.4,43.98,44.98
2316,2016DING05,Tianping Ding,602.81,649.42,43.97,44.83
2317,2009MARK03,James Markey,602.9,639.59,43.95,46.31
2318,2014BENT01,Claudio Bentivoglio,603.08,707.31,43.93,36.79
2319,2014CIPR01,David Cipriano,603.22,631.7,43.9,47.52
2320,2018WANJ08,Junrong Wang,603.27,650.89,43.9,44.61
2321,2017OUTH01,Sebastian Outh-Aut,603.33,652.01,43.89,44.45
2322,2012QUIA01,Albert Quiñones,603.35,667.0,43.88,42.27
2323,2015HAMM01,Bill Hammill,603.41,640.17,43.87,46.22
2324,2014SANC16,Carlos Samuel,603.5,704.44,43.86,37.16
2325,2016BASH02,Magomed Bashtaev,603.73,647.43,43.82,45.13
2326,2018MONA01,Boris Monakhov,603.76,633.35,43.82,47.26
2327,2007CHRI03,Tobias Christlieb,603.8,650.03,43.81,44.74
2328,2010TANE01,Gaurav Taneja,603.94,647.56,43.79,45.11
2329,2017SZIG01,András Szigeti,603.96,629.77,43.78,47.82
2330,2012JIAN07,Shikai Jiang,604.0,656.28,43.78,43.82
2331,2013TOKA01,Piotr Tokarski,604.05,650.1,43.77,44.73
2332,2018CONS01,Tim Consemulder,604.12,657.34,43.76,43.66
2333,2015BELO02,Pedro Henrique,604.17,663.34,43.75,42.79
2334,2017KONG04,Zhiqiang Kong,604.23,669.17,43.74,41.96
2335,2012TEPA01,Edrian Oralde,604.37,660.01,43.72,43.27
2336,2016MEDI01,Miguel Ángel,604.51,642.08,43.7,45.93
2337,2012QIUR01,Ruohan Qiu,604.74,664.94,43.66,42.56
2338,2013LOPE05,Manuel Barrientos,605.08,651.08,43.61,44.59
2339,2012ACHA01,Carlos Pedro,605.17,656.62,43.59,43.77
2340,2010ALVA01,Paulo Salgado,605.69,640.06,43.51,46.24
2341,2017XIAO09,Bowen Xiao,605.75,659.45,43.5,43.36
2342,2016BICH02,Andrey Bicharov,605.8,661.38,43.49,43.08
2343,2016LOPE30,Rodrigo Castañeda,605.93,656.09,43.47,43.85
2344,2015NEYP01,Jovan Elimar,606.14,659.38,43.44,43.37
2345,2009AZMI01,Azlysha Azmi,606.32,651.4,43.41,44.54
2346,2016KHAN14,Lê Quốc,606.32,659.54,43.41,43.34
2347,2017SPON01,Mia Sponseller,606.33,644.07,43.41,45.63
2348,2010HONG07,Xusheng Hong,606.44,683.6,43.39,39.94
2349,2018KINN05,Urho Kinnunen,606.64,655.53,43.36,43.93
2350,2014VERT01,Genesis Vertudez,607.02,658.36,43.3,43.51
2351,2010ZHOU17,Zhihao Zhou,607.06,644.98,43.29,45.5
2352,2016DOTY01,David Doty,607.23,651.07,43.26,44.59
2353,2018TANJ05,Jacob Miko,607.23,668.41,43.26,42.07
2354,2012WANG53,Hongyang Wang,607.31,679.73,43.25,40.48
2355,2016PRAJ02,Avishek Prajapati,607.63,677.77,43.2,40.75
2356,2017ANDR02,Mikhail Andreev,607.85,653.74,43.16,44.19
2357,2013LOYK01,Nikita Loika,607.89,662.14,43.16,42.97
2358,2018CRAU01,Hayden Craun,607.89,660.68,43.16,43.18
2359,2013BLOC01,Marcin Bloch,608.03,662.66,43.14,42.89
2360,2015DYAT01,Andrey Dyatlov,608.11,686.02,43.12,39.61
2361,2017TOWN02,Timothy Townley,608.21,650.66,43.11,44.65
2362,2018HUOP01,Peng Huo,608.36,640.75,43.08,46.13
2363,2017MEAD01,Alison Meador,608.4,660.73,43.08,43.17
2364,2018MULL07,Hannes Müller,608.5,666.35,43.06,42.36
2365,2014CHHA02,Siddharth Chhatbar,608.65,655.96,43.04,43.87
2366,2016PARK10,Yeon Kyun,608.67,657.23,43.03,43.68
2367,2017OPRE02,Mara Oprea,608.74,655.76,43.02,43.89
2368,2018HUDO01,Mathieu Hudon,608.99,650.07,42.98,44.74
2369,2013VIDY01,Ramesh Vidyasagar,609.11,652.93,42.96,44.31
2370,2016VASS02,Michael Vass,609.24,654.61,42.94,44.06
2371,2016REET01,Tijmen van,609.33,648.88,42.93,44.91
2372,2014DIZA01,Ruperto Diza,609.33,653.71,42.93,44.2
2373,2015CIRI01,Andrew Cirincione,609.36,688.72,42.92,39.24
2374,2016ALBR01,John Albright,609.4,640.76,42.92,46.13
2375,2016FERN07,Javier López,609.44,680.16,42.91,40.42
2376,2014ONOD01,Yngwie Onodera,609.46,676.81,42.91,40.88
2377,2017QUEN01,Eben Quenneville,609.49,654.52,42.9,44.08
2378,2013HONG01,Patrick Hong,609.95,649.0,42.83,44.89
2379,2011KIRU01,Kesava Kirupa,610.0,657.22,42.82,43.68
2380,2006TABU02,Yumu Tabuchi,610.08,679.07,42.81,40.57
2381,2013AWAL01,Shantanu Awale,610.13,660.21,42.8,43.25
2382,2016KELL10,Adam Marcellus,610.54,696.53,42.74,38.2
2383,2013LIMD01,DongHwan Lim,610.56,638.82,42.74,46.43
2384,2016ELIA02,César Chalco,610.59,669.62,42.73,41.89
2385,2017ABID02,Muhammad Hafizuddin,610.62,649.68,42.73,44.79
2386,2018JACO10,Lucas Jacobs,610.65,648.32,42.72,45.0
2387,2014HART04,Luís Felipe,610.96,639.09,42.67,46.39
2388,2018LACA03,Daniele Lacalamita,611.11,652.27,42.65,44.41
2389,2011JIAN18,Tianzhao Jiang,611.26,890.69,42.63,19.12
2390,2019PROF01,Theo Proferes,611.28,678.74,42.62,40.61
2391,2013DOLG01,Emilis Dolgov,611.41,653.71,42.6,44.2
2392,2015RAME01,Zach Ramer,611.44,685.41,42.6,39.69
2393,2014WUZE01,Zengchu Wu,611.61,676.35,42.57,40.95
2394,2018PAPP02,Andrea Pappalardo,611.77,665.67,42.54,42.46
2395,2017YEOL01,Park Gyeong,611.84,646.98,42.53,45.2
2396,2010HONG01,Chi-Lun Hung,611.97,676.97,42.51,40.86
2397,2011RAJT01,Miha Rajter,612.24,651.21,42.47,44.57
2398,2019BELL10,Jack Bellomy,612.25,635.39,42.47,46.95
2399,2010STRO02,Jorge Ströh,612.87,670.2,42.37,41.81
2400,2007ROKA01,Péter Róka,612.9,639.79,42.37,46.28
2401,2013BOGD04,Tomek Bogdanik,612.93,708.96,42.36,36.58
2402,2014CARI01,Ree Brandel,613.2,651.82,42.32,44.48
2403,2017SWAR03,Dylan Swarts,613.23,657.69,42.32,43.61
2404,2017MOOR03,Clay Moore,613.46,687.68,42.28,39.39
2405,2018LAMB02,Will Lambert,613.51,687.61,42.27,39.4
2406,2011TRON02,Sebastiano Tronto,613.95,654.13,42.2,44.13
2407,2006OOKU02,Tatsuya Ookubo,614.27,657.13,42.15,43.69
2408,2008TERR01,Jay Terrafranca,614.55,659.47,42.11,43.35
2409,2007MOSE02,Jack Moseley,614.57,660.22,42.11,43.24
2410,2017BARR34,Luis Angel,614.8,653.39,42.07,44.24
2411,2008JACO01,Scott Jacobus,614.9,670.16,42.06,41.82
2412,2012COMM01,Fabian Common,614.94,671.8,42.05,41.58
2413,2017MING03,Kook Ming-Jo,615.0,652.43,42.04,44.39
2414,2015SANC09,Juan Delgado,615.14,662.49,42.02,42.91
2415,2018WENW01,Wei Wen,615.41,656.65,41.98,43.76
2416,2016LIYE01,Yen-Wei Li,615.44,656.92,41.97,43.72
2417,2015YUQI01,Qiuyu Yu,615.53,660.05,41.96,43.27
2418,2010HUDL01,Luke Hudlass-Galley,615.57,684.8,41.95,39.78
2419,2017ARTI02,Adoni Chaves,616.01,645.75,41.88,45.38
2420,2010RAHM02,Cendy Cahyo,616.02,667.65,41.88,42.17
2421,2017ANDE05,Thomas Anderson,616.14,659.26,41.86,43.38
2422,2018KRAM01,Ilkka Kramer,616.2,674.41,41.85,41.22
2423,2014OHLE01,Simone Ohler,616.21,664.65,41.85,42.6
2424,2017SHAT01,Andrew Shattuck,616.23,672.61,41.85,41.47
2425,2013LIPK01,Gus Lipkin,616.25,666.65,41.84,42.32
2426,2017IBRA05,Shukrullo Ibragimov,616.36,676.21,41.83,40.97
2427,2011MAXE01,Agnes Maxelino,616.39,667.12,41.82,42.25
2428,2013NIEL02,Steffen Nielsen,616.71,659.03,41.77,43.42
2429,2015KWAK01,Dongyoon Kwak,616.88,668.91,41.75,41.99
2430,2017ANDR22,Jhoan Andrade,616.88,643.46,41.75,45.72
2431,2017HUBE01,Anne Huber,616.99,680.38,41.73,40.39
2432,2013ROGA02,Przemysław Rogalski,617.18,698.71,41.7,37.91
2433,2013YANG24,Kai Yang,617.39,664.28,41.67,42.66
2434,2011LIMA02,Bruno Fonsêca,617.5,662.46,41.65,42.92
2435,2016CRUZ25,Angelo Cruz,617.57,670.7,41.64,41.74
2436,2005SUSE01,Yuji Suse,617.6,688.64,41.64,39.26
2437,2009POOK01,Baramee Pookcharoen,617.63,675.99,41.63,41.0
2438,2014TAYL06,Harry Taylor,618.38,667.28,41.52,42.23
2439,2016ANDE02,Spencer Andersen,618.48,697.22,41.5,38.11
2440,2012ALLE03,Thomas Allen,618.59,675.4,41.48,41.08
2441,2014MCKA01,Corbin McKay,618.66,656.84,41.47,43.74
2442,2008RODR01,Alejandro Riveiro,618.8,777.9,41.45,28.64
2443,2011VILA01,Ticiano Vilardi,618.84,663.26,41.44,42.8
2444,2013MERC01,Gil Merckx,618.89,646.53,41.44,45.26
2445,2016TAIN01,Nguyễn Thành,619.12,680.87,41.4,40.32
2446,2015JAEH01,Konstantin Jaehne,619.18,672.42,41.39,41.5
2447,2015LAIS02,Simon Lai,619.42,674.01,41.35,41.27
2448,2013DANY02,Kyrylo Danyleiko,619.48,649.88,41.35,44.76
2449,2011CHER02,Andrii Chernichko,619.61,658.51,41.33,43.49
2450,2018RIOS04,Davis Joel,619.81,658.22,41.29,43.53
2451,2018GING01,Christian Gingrich,619.85,657.06,41.29,43.7
2452,2018JOHN22,Ryan Johnson,619.87,709.43,41.29,36.52
2453,2017BOHM02,Luca Böhme,619.88,639.65,41.28,46.3
2454,2013DENG06,Guolang Deng,620.24,665.76,41.23,42.44
2455,2016LOYL01,Lance Bastien,620.24,699.16,41.23,37.85
2456,2019ALEX02,Alexandru Dima,620.27,668.04,41.22,42.12
2457,2018LOHT01,Timothy Loh,620.36,661.24,41.21,43.1
2458,2013TOLA01,Richard Tola,620.54,670.44,41.18,41.78
2459,2014VIKS01,Olli Vikstedt,620.78,674.86,41.15,41.15
2460,2017TAUM01,Kevin Rojas,620.79,649.06,41.14,44.89
2461,2015WRIG07,William Wright,620.87,676.98,41.13,40.86
2462,2015DIAC01,Tiana Diachenko,620.96,673.09,41.12,41.4
2463,2013BAUE01,Jason Bauer,621.09,708.77,41.1,36.61
2464,2017AINF01,Fitri Nurul,621.19,656.25,41.08,43.82
2465,2011TRAN08,Trần Văn,621.31,676.03,41.06,40.99
2466,2012NALH01,Vinit Nalhe,621.72,678.63,41.0,40.63
2467,2018YANA03,Takeshi Yanagita,621.72,669.96,41.0,41.85
2468,2017CONN03,Thomas Connor,621.73,663.56,41.0,42.76
2469,2011LIUR01,Rui Liu,621.78,667.08,40.99,42.26
2470,2014SURE11,Anirudh Sureshram,621.96,687.86,40.96,39.36
2471,2016CHAL03,Kevin Edu,621.98,681.85,40.96,40.18
2472,2017SCHM04,Thomas Schmidt,621.99,669.9,40.96,41.85
