Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Max Park,USA,NiseiWeek2017,9.9,10.31,10.25,9.75,9.01,12.59,10.93
Kai-Wen Wang (王楷文),Taiwan,KaohsiungAutumnOpen2017,10.21,10.31,9.21,11.72,12.25,8.91,10.0
Max Park,USA,RenoFall2017,9.66,10.21,10.36,12.35,10.29,9.98,8.71
Max Park,USA,BerkeleyFall2017,10.12,10.21,9.25,10.57,8.99,10.83,10.81
Max Park,USA,BerkeleyFall2017,9.62,10.21,9.96,9.93,11.06,10.74,8.18
Feliks Zemdegs,Australia,AdelaideSummer2018,10.07,10.21,9.06,10.42,11.66,11.15,8.64
Max Park,USA,SacCubingIII2018,9.97,9.99,8.41,10.54,11.02,8.35,11.55
Antoine Cantin,Canada,NationalCapitalRegion2018,9.72,9.99,9.18,9.92,11.48,8.37,10.87
Kian Mansour,Canada,NationalCapitalRegion2018,9.72,9.99,9.52,8.7,9.87,12.94,10.58
Feliks Zemdegs,Australia,HorshamWinter2018,8.57,9.47,10.14,9.97,12.42,8.3,7.44
Feliks Zemdegs,Australia,RijswijkOpen2018,9.41,9.42,9.0,9.65,8.97,9.61,12.48
Patrick Ponce,USA,LongIslandWinter2019,9.19,9.42,8.2,10.31,11.48,9.75,7.51
Max Park,USA,LasVegasSpring2019,9.17,9.42,8.51,10.39,12.78,7.75,9.36
Max Park,USA,TheLastFrontierOpen2019,9.39,9.42,9.2,9.53,9.53,11.37,9.12
Patrick Ponce,USA,WC2019,9.05,9.42,8.97,9.86,9.43,7.85,10.91
Max Park,USA,WC2019,9.19,9.42,8.8,10.52,10.02,8.11,9.44
Max Park,USA,SanDiegoSummer2019,9.17,9.42,9.6,8.84,10.48,9.42,9.24
Max Park,USA,BayAreaSpeedcubin202019,9.21,9.42,7.46,10.72,11.25,10.08,6.82
Max Park,USA,BayAreaSpeedcubin202019,9.15,9.42,8.7,11.28,10.0,9.56,7.88
Patrick Ponce,USA,LibertyScienceCenterOpen2019,9.36,9.42,8.67,9.34,8.49,10.25,12.06
Juliette Sébastien,France,FranconiaX2019,9.41,9.42,8.61,8.59,9.75,9.9,10.87
Patrick Ponce,USA,SlowNSteadyWinter2020,9.41,9.42,9.13,9.1,10.05,9.36,9.77
Feliks Zemdegs,Australia,TurnAroundTassie2020,8.5,9.42,10.44,11.21,7.69,9.18,8.64
Feliks Zemdegs,Australia,SydneyReOpenSaturday2021,9.12,9.42,9.12,9.58,8.22,9.56,13.09
