Name,Best WR,Event
Daniele Gaggiotti,16633,555
Giovanni Tramontano,16671,444
Alberto Giabardo,16693,555
Diego Antonino Caligiore,16879,333oh
Daniele Ravasio,16949,555
Riccardo Paoli,16965,333
Ludovico Sergiacomi,16990,pyram
Alejandro Salerno,17004,222
Christian Moccia,17098,pyram
Gino Matteo Morello,17116,333
Luca Adorante,17224,222
Michele Bastione,17273,555
Damiano Bacchin,17393,555
Tommaso Perli,17508,skewb
Roberto Marcianó,17529,333
Davide Liuzzo,17582,333
Lucia Perezzani,17753,skewb
Gabriele Benenati,17754,222
Alessandro Magenis,17832,555
Matteo Maggiali,17958,pyram
Lorenzo Di Tore,17975,333
Mauro del Viscovo,18003,skewb
Luca Bonisoli,18014,555
Damiano Bordoni,18079,222
Dennis Mascia,18159,555
Giovanni Gaio,18202,333oh
Giovanni Callegaro,18241,555
Costanza Collinvitti,18368,pyram
Filippo Di Biase,18383,222
Leonardo Guastini,18594,skewb
Matteo Bonifazi,18682,skewb
Christian Tiziani,18722,555
Riccardo Silvestri,18755,555
Aurora Zambelli,18800,pyram
Remo Alla,19071,333oh
Giacomo Canta,19076,222
Simone Garzarella,19150,222
Stefano Ravaglia,19152,555
Luca Galeazzo,19364,444
Daniele Buglione,19432,333
Nicola Jian Wang,19463,555
Marco Bellini,19481,555
Matteo Joseph Delgado,19555,pyram
Gianandrea Muratori,19661,skewb
Alessandro Ducci,19749,skewb
Pietro Marchica,19751,pyram
Alessandro Stella,19751,555
Francesco Gragnoli,19803,skewb
Michele Damiano,19922,555
Oleg Ludovico Montanelli,19946,333oh
Lorenzo Rainò,19949,skewb
Gabriele Christian Giorgi,19953,222
Felice Mondo,20020,pyram
Federico Scrinzi,20059,555
Tommaso Dossi,20103,333oh
Giorgio Garagnani,20205,pyram
Giorgio Ferrara,20282,555
Fabio Rabito,20295,555
Gianni Calabrese,20328,333
Gianpaolo Di Nino,20367,555
Andrea Boroni Grazioli,20406,333oh
Paolo Vasinton,20477,555
Davide Paoloni,20556,222
Mattia Pirozzi,20567,pyram
Davide Rabito,20653,555
Giulio Improta,20704,444
Claudio Centrone,20738,555
Lorenzo Pagan,20839,333
Ivan Acierno,20841,555
Carlo Simone,20901,555
Alessandro Carota,21087,222
Gabriele Stigliano,21152,pyram
Francesco Arcione,21177,pyram
Mirko Giannini,21188,222
Giuseppe Scordo,21211,333oh
Pietro Sgroi,21393,444
Giovanni Artini,21420,skewb
Filippo Nuzzoli,21433,pyram
Luigi Garcea,21618,333oh
Alessio Colombo,21666,skewb
Alessandro Cristofanilli,21692,333
Anna Fabris,21716,pyram
Andrei Apostu,21722,pyram
Francesco Tanzarella,21828,333
Alessandro Lugari,21924,333
Carmine Mattia Marino,22021,444
Gian Marco Ciaccia,22028,skewb
Pietro Molaioni,22172,skewb
Dennis Correro,22284,333
Christian Gruber,22370,pyram
Lorenzo McMahon,22434,skewb
Leonardo Gualandris,22508,333
Massimiana D'Elia,22705,444
Luca Pasquale Russo,22722,222
Matteo Barone,22759,444
Lorenzo Castorri,22979,skewb
Luca Feliciotto,22988,222
Alessio Buoncristiani,23162,skewb
Angelo Alfio Faro,23181,222
Flavio Sperandeo,23276,pyram
Francesco Pham,23364,333
Marco Guidi,23560,pyram
Riccardo Raimondi-Cominesi,23611,222
Valerio Scisci,23900,444
Patrizio Di Meo,23909,skewb
Alberto Anselmo,23994,333oh
Angelo Amoako,24013,333
Marco Cappiello,24021,333oh
Michael Hu,24068,pyram
Alessandro Coturni,24272,222
Errico Pedroni,24542,222
Riccardo Pironti,24603,222
Luca Zanella,24643,444
Simone Rauso,24708,pyram
Giulia Casella,24845,444
Carlo Carello,24854,222
Maurizio Errico,24951,333oh
Matteo Pagano,25041,444
Andrea Regazzetti,25329,444
Ilaria Nissotti-Revel,25333,pyram
Alessio Trombin,25376,skewb
Matteo Martino,25465,222
Francesco Liguori,25561,222
Alessia Maria Arcione,25603,skewb
Luca Sorice,25833,444
Mirco De Zorzi,25861,pyram
Zeno Maccari,25896,333oh
Marco Ubino,26035,333
Lorenzo Mazzuoli,26149,333oh
Alessio Alfonsi,26158,333
Omar El Neanai,26200,222
Simone Munzone,26233,pyram
Iacopo Loiodice,26398,444
Mosè Filippo Lancellotti,26425,222
Fabio Gulmini,26688,skewb
Vincenzo Sampietro,26843,444
Federico Manera,26949,pyram
Edoardo Landa,26965,pyram
Giacomo Grosso,26995,333oh
Valerio Mascelloni,27055,skewb
Pietro Macrì,27205,333
Davide Macera,27208,333
Samuele Rodighiero,27242,333
Francesco Nieri,27255,pyram
Daniele Puglisi,27775,pyram
Pietro Gorilskij,27995,444
Nicola Thevenet,28260,444
Pietro Casu,28282,333
Lorenzo Assiro,28718,222
Davide Maietta,28748,444
Nicolò Matteucci,28917,333
Davide Aime,28974,333oh
Niccolò Pirani,29145,222
Giuseppe Galetta,29227,skewb
Massimo Pavoni,29332,444
Michele Turrina,29359,333oh
Lorenzo Piccinelli Harold,29365,333oh
Gabriele Duchi,29477,pyram
Filippo Costa,29498,333oh
Massimiliano Mongiu,29531,333
Emanuele La Rosa,29628,444
Luca Saverio Ghinfanti,29700,222
Alessandro Loprete,29718,333oh
Daniele Parini,30022,skewb
Vincenzo Magliulo,30111,pyram
Leonardo De Angelis,30157,pyram
Lorenzo Filigi,30271,222
Alessandro Marinelli,30416,444
Marco Dignani,30483,333oh
Mattia Zago,30744,pyram
Emanuele Rizzo,30774,333
Matteo Giacomozzi,30850,444
Stefano Pegoraro,30890,skewb
Giacomo Calcaterra,31038,skewb
Alessio Casella,31097,222
Mirko Celano,31140,skewb
Davide Ronchi,31140,444
Edoardo Ricci,31166,pyram
Samuele Piantini,31196,222
Guido Russo,31196,222
Matteo Piccapietra,31197,333oh
Veronica Piccinni,31209,skewb
Valentina Violante,31312,skewb
Antonio Costetti,31401,skewb
Lorenzo Mariotti,31444,333oh
Lorenzo Volpi,31680,444
Giacomo Rosini,31854,444
Leonardo Canello,32228,skewb
Francesco Piccione,32263,333
Filippo Maria Travisani,32360,skewb
Gianluca Senesi,32360,444
Raffaele Martini,32423,333oh
Alessandro Pe,32582,333
Luca Sirci,32834,skewb
Nicolò Taricco,33024,skewb
Joshua Rizzello,33079,444
Elia Nicola Coppola,33092,pyram
Andrea Nicoletti,33117,444
Giuseppe Masini,33141,444
