Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Kevin Gerhardt,Germany,HessenOpen2015,1.43,1.6,1.55,1.04,4.16,1.89,1.36
Ray Vince Ong,Canada,TorontoOpenSpring2015,1.51,1.6,1.4,1.12,5.32,1.57,1.83
Lucas Etter,USA,Indiana2015,1.5,1.55,1.54,1.38,1.56,1.55,2.21
Bennet Wichmann,Germany,BerlinSummerCubeDay2015,1.4,1.55,1.59,1.59,1.47,7.56,1.13
Lucas Etter,USA,USNationals2015,1.54,1.55,0.98,2.01,1.66,0.94,2.74
Jayden McNeill,Australia,AustralianNationals2015,1.44,1.51,1.23,1.02,1.21,4.97,2.09
Matěj Mužátko,Czech Republic,BONDOpen2016,1.44,1.51,1.31,1.09,1.24,5.37,1.98
Lucas Etter,USA,MichiganCubingClubAlpha2016,1.45,1.51,1.52,1.53,3.59,1.33,1.48
Jiekang Pan (潘杰康),China,NanchangOpen2016,1.39,1.51,1.69,4.59,1.47,1.32,1.37
Brian Johnson,USA,DixonFall2016,1.38,1.51,1.11,2.86,1.76,1.66,0.73
Lucas Etter,USA,MariettaMystery2016,1.42,1.51,1.39,1.93,1.13,1.6,1.54
Christopher Chi,USA,HudsonValleyOpenFall2016,1.5,1.51,1.14,2.93,1.1,2.05,1.34
Martin Vædele Egdal,Denmark,LuciaOpen2016,1.26,1.51,1.77,2.27,1.25,1.51,1.03
Antonie Paterakis,Greece,GreeceWinterOpen2016,1.5,1.51,1.25,1.23,1.71,2.48,1.57
Lucas Etter,USA,MusicCitySpeedsolving2017,1.49,1.51,1.23,1.64,1.66,1.18,-0.01
Antonie Paterakis,Greece,ZuidplasOpen2017,1.4,1.51,1.44,1.81,1.75,1.34,1.12
Martin Vædele Egdal,Denmark,SwedishDecathlonChallenge2017,1.45,1.51,1.14,1.57,0.95,14.72,1.82
Martin Vædele Egdal,Denmark,KvisselOpen2017,1.45,1.51,1.47,1.28,1.45,1.61,-0.01
Andy Denney,USA,CubingUSANationals2017,1.43,1.51,1.58,1.33,1.46,1.49,2.32
Nicolás Sánchez,USA,CubingUSANationals2017,1.4,1.51,1.49,1.17,1.36,2.16,1.68
Rami Sbahi,USA,CubingUSANationals2017,1.37,1.51,1.28,1.88,2.18,1.37,0.86
