Competition,Optimal Length,Optimal Solution,Scramble,Round,Group,Scramble Num
Hawaii2018,9,U'RUF'R2F'U2FU2,U' R F U R U' R' F U' R2 U',1,C,1
Hawaii2018,9,U2FUFR'FURF,R U' R2 U' F' U' R U R U' F',1,B,1
Hawaii2018,9,U2F'U'RF'RF2R'U,R2 U' R U2 R' U' R2 F U' F' U2,1,B,1
Hawaii2018,9,U'R2FUF'RF2RF,R' F R U R' F' U' F U F R,1,A,1
CubingUSANationals2019,9,U2FU'FU'R'F2UR,R U2 R2 F U' F R' U2 F U' R2,1,C,2
ChengduWinterOpen2018,9,F'U2F'U2FR'U2R'U',U' R' U' R2 F U2 F R2 U' R2 U2,1,C,4
CubingUSANationals2019,9,FR'UR'U2RF'UR',U2 R' U2 R U2 R F U' F U' R,1,C,2
ChengduWinterOpen2018,9,FR'F'UR2F'R2FR2,U' R' F R U2 R2 U2 F' R U R',1,A,4
NovemberDaysinMinsk2018,9,FU2F2R'FUF'R'U,U R' U2 F U2 F' U2 R U F U2,1,D,5
NovemberDaysinMinsk2018,9,R'F'RU2R'U2RU'R,R' U2 R U R2 U' R' U R' F R,1,C,5
CubingUSANationals2019,9,F2RF'U'R'U'R2UF',U R2 F2 R U' R' F R U' R U',1,D,2
SmartCubeFest2018,9,FU2FR2U2FU'F'U',R' U F' R U' R' U2 R U F R,1,H,5
CubingUSANationals2019,9,U2F'RUF'UR'U'R',U' R F' U' R' F' R' U R' F U2,1,E,2
SmartCubeFest2018,9,UFR'U'R2U2F'U'R,R' U' F U' R2 U' R2 U' R2 U2 F',1,F,5
CubingUSANationals2019,9,U2R2F2RU'RF2U'R,U' R' U2 F U R' F' U' F U2 R,1,E,2
CubingUSANationals2019,9,U'R2F'R'FR'FU'R2,U R' U2 R U2 R' F R U2 R U2,1,F,2
SmartCubeFest2018,9,U2RU'F2U'F2RU2R',R F R2 U' R2 F U2 R U R' U2,1,A,5
FuengirolaCubea2018,9,UR'U2FU'F2U'R'U,R' U R U R F' R2 U R U2 F',1,C,2
CubingUSANationals2019,9,UF2UF2U2F'R'U2R2,R' U F' U2 F' R2 U' R' U R' F2,1,F,2
FuengirolaCubea2018,9,F'UR'F2U2R'FU2R,F' U' R2 U' R U' R U' R2 U' R2,1,B,2
FuengirolaCubea2018,9,UF'RUR'F'U'F2R2,R' U' F' U2 R2 F' R2 F U' F R2,1,B,2
HeartlandChampionships2018,9,F'RU'R'FRU'FU,R F' R' U2 R' U2 R U2 R F' U2,1,D,4
StarCubingNijmegen2019,9,UF'UR'FU'RFR2,R' U' R U' R' U F' U2 F U2 R2,f,B,3
MPEIOpen2019,9,UR'U'FR'F'U'R2F',U2 R' U2 R U2 F U R U R U',1,D,1
HaywardRubiksRumble2016,9,U2F2R2UR'F'UR'F2,R' F' R U2 R' U R' U R2 U' R',1,M,1
HaywardRubiksRumble2016,9,RU'FU2F2R2URF,F' U' R2 U' R2 U2 R' U' R' F U',1,K,1
BarwonCubefortheKids2021,9,U'F'RU'R'FR'F'U,U R2 F R U2 R' F U' F' R U',1,C,1
HaywardRubiksRumble2016,9,R2FR'F2RF'U2F'R',R' F U' F' R U R' F2 U' F R,1,J,1
HaywardRubiksRumble2016,9,U2F'RF2RU2FUF,U R F R' F U R U R' F U2,1,I,1
HaywardRubiksRumble2016,9,U'FU'FU2F2U'F'R2,R' F R U2 R' U2 F' R2 F R U,1,I,1
HaywardRubiksRumble2016,9,F'R2U2R'F'R2F2UR',R' F R2 U2 R' U' F R2 U' R2 F',1,H,1
HaywardRubiksRumble2016,9,UF'U2R2F'RF2R'F2,U' R U' R2 F R' U' R2 U R' F,1,G,1
BeijingSpringAM2021,9,RU2F2R'U'RF'R2F,R2 F' R2 U F R U2 R U2 R2 F,d,B,3
HaywardRubiksRumble2016,9,F2R'FR2U'F'R2F2U',U R U' R' U R' U' F R' U2 R2,1,D,1
BeijingSpringAM2021,9,UFR2FU'F2RU2R2,U' R U' R U' F U R U2 R' U2,d,C,3
KunshanAfternoon2021,9,UF2U'RU'RFU2F,R F' R2 U' F U' F U2 F U2 R2,1,A,5
KaohsiungOpen2016,9,UF2U2FU'RF'RF,R' F R' F R U R' U2 R U2 R',1,C,2
KunshanAfternoon2021,9,U'FU2R'U'F2RU2R',R' U2 F' R U2 R' F' U R F' R2,1,C,5
GuangdongOpen2021,9,F'U'F2U'F'R2URF',U2 R U2 F' R2 F' U2 F U' R U',2,A,3
KaohsiungOpen2016,9,U2F'RU'RF'UF'U',R' U' F U' R2 U' R' U F R U,1,A,2
KaohsiungOpen2016,9,U2R'F'R2URUF2R2,U R2 F' R2 U2 F' R U' R U' R2,1,A,2
CanberraSpring2016,9,F2RF'U2R2UF2UR,U' R' U' F R2 U2 R' U F U' R',1,A,4
ZhengzhouSummer2021,9,F2R2FU'RU'R'U2R,R' U R' U' R U R U2 F' R2 F2,d,B,1
SandnesOpen2016,9,URF'R2U2RF'U'F,R' F R2 F' R' U R' U2 F R U',2,B,4
ZhengzhouSummer2021,9,U'FRU2RFUR2U2,R U2 R' U' F R U R U' R' U',d,C,1
ZhengzhouSummer2021,9,U2F2U'R2F'UFUR',R U2 F' R2 F U F' U' F R2 U',d,C,1
ZhengzhouSummer2021,9,FU'R2F2UFUR2U2,R2 U' F' U' R2 U' F' R2 F' R2 F,d,D,1
ZhengzhouSummer2021,9,U'R'F2UF'U'FU'F,U F R2 U2 R' U' R U R U2 R',d,D,1
EdmontonLimitedSummer2016,9,F2R'F'U2RUF'U2R2,R2 U2 F R U R' F U2 F' R2 U',1,B,2
EdmontonLimitedSummer2016,9,U2R'UF'U2RF'U'F',R' U' R F U F U2 F U' R U2,1,A,2
HaywardRubiksRumble2016,9,UF'RU2RFR'U'F,R F' R' U R F' R' U2 R' U' R,1,L,1
HaywardRubiksRumble2016,9,U'F'UF2RF'R'UR',U' R U' R' U R' F' U2 F U' R,1,M,1
NationalCubingRegionOpen2016,9,R'U2F'RF2RFR2F,R F' U2 R' U R' U' R U2 R2 F,d,L,2
HaywardRubiksRumble2016,9,RUR'FR2F'RU'F',R' F' U2 R F U2 R U2 R U' R',1,N,1
ByczyCubeRace2017,9,UF2UF2U2F'R'F2R2,F U' R U2 R' U2 F R U2 R F',1,A,3
MinnesotaCubeMelt2017,9,UFRF2RURU2F',U2 R' U2 F' U2 R U R' U2 R' F,1,E,1
MinnesotaCubeMelt2017,9,U'F'RF'UR2URU',U2 R U2 R' U' R' U2 F R' F U,1,D,1
MinnesotaCubeMelt2017,9,F'RFRF2U'F'RU,R' U' F U' F R2 F U2 F U2 F',1,D,1
MinnesotaCubeMelt2017,9,U'FR2U'F'RF'UR,R U2 R2 F U2 R' F U2 F U' R2,1,C,1
MinnesotaCubeMelt2017,9,RUF'RU'RF2U2R',F U' R2 U2 R' U' F U2 R2 U' R',1,C,1
MinnesotaCubeMelt2017,9,U2FR'U2FR'F'UR,U' R U' F U' F R2 U' R U2 R',1,B,1
MinnesotaCubeMelt2017,9,UF2UF'R2FU'RU2,U' R U2 R' U2 R U2 R2 F' U' F2,1,B,1
MinnesotaCubeMelt2017,9,UR'URF2R'FR2U2,R' U2 R U' R' F U' R' F U2 R2,1,A,1
MinnesotaCubeMelt2017,9,RF2U'F'UR'UFR,U' R U' F' R' F' R' U R' U2 F,1,A,1
NorwegianChampionship2017,9,F2U2F'URU2RU2R,R U2 R2 U2 R U2 R' U' F U2 F2,f,B,5
IrunaOpen2020,9,F'R'FR2U'RFU'F,R' U' R' F U' R U R' U R' F2,1,B,2
