Delegate,Scrambles,E[Moves],4 moves%,5 moves%,6 moves%,7 moves%,8 moves%,9 moves%,10 moves%,11 moves%
Hoe Zi Yang,567,8.81,0.0,0.18,1.41,6.0,22.4,49.38,20.63,0.0
Chris Brotzman,560,8.77,0.0,0.0,0.89,7.32,23.39,50.54,17.68,0.18
Matthew McMillan,560,8.75,0.0,0.0,1.96,4.46,26.43,51.61,15.18,0.36
Aldo Feandri,553,8.81,0.0,0.18,0.9,6.33,23.15,49.55,19.89,0.0
Swaminathan Chandrasekaran,539,8.71,0.0,0.0,1.3,5.19,28.57,51.02,13.73,0.19
Bruno Mapelli,539,8.73,0.0,0.56,1.3,7.79,22.08,51.95,16.14,0.19
Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),532,8.78,0.0,0.0,2.07,6.02,22.93,50.19,18.8,0.0
Brandon Mikel,518,8.82,0.0,0.0,1.16,6.56,21.04,51.54,19.69,0.0
James Benedict Cañares,432,8.75,0.0,0.23,1.16,7.87,22.92,49.77,18.06,0.0
Kevin Matthews,504,8.75,0.0,0.6,0.99,6.55,20.83,57.14,13.69,0.2
Hung Lo (羅鴻),483,8.76,0.0,0.21,2.48,5.18,22.77,51.76,17.6,0.0
Kian Barry,483,8.71,0.0,0.62,1.45,8.7,22.36,49.07,17.81,0.0
Jorge Miguel Trigo,476,8.7,0.0,0.21,1.68,7.14,26.47,48.53,15.76,0.21
Nestor Sanchez,469,8.85,0.0,0.43,1.07,5.54,21.11,49.89,21.96,0.0
Éder dos Santos Silva,469,8.81,0.0,0.0,1.07,4.26,26.01,49.68,18.98,0.0
Maria Zhits,462,8.75,0.0,0.22,1.3,6.71,26.19,46.32,19.26,0.0
Radu Făciu,455,8.67,0.0,0.88,1.32,8.13,23.96,50.99,14.73,0.0
Trịnh Nguyên Anh,454,8.83,0.0,0.0,0.44,4.63,24.45,51.98,18.5,0.0
Casey Tharpe,448,8.76,0.0,0.22,1.34,5.8,23.21,54.02,15.4,0.0
Brendan James Gray,448,8.8,0.0,0.0,0.67,7.37,21.88,51.34,18.75,0.0
Adam Walker,441,8.83,0.0,0.45,0.91,4.08,22.22,54.88,17.01,0.45
Petra Kobal Vogrinec,434,8.72,0.0,0.23,1.38,7.14,22.81,54.38,14.06,0.0
Serhii Mormul (Сергій Мормуль),63,8.62,0.0,0.0,1.59,3.17,33.33,55.56,6.35,0.0
