Competition,Event,Round,Group,Scramble Num,Scramble
OsijekOpen2018,333,2,A,1,F2 D2 U B2 U' R2 U' L2 B L' U2 L' R D U2 L' D U2 F'
SwisscubingCupI2018,333,1,C,1,L B2 R D2 L2 U2 F2 D2 R B' L R U' R B2 U' R' D2 U F
RigaSpecial2018,333,1,C,5,D2 U2 B2 U2 F' D2 F R U' B' F' D' R2 F' L2 D' R' U'
LagomarBast2018,333,1,A,2,D' L' D2 L2 D F B2 R2 U F2 U2 F' L2 U2 F2 R2 B' L2 F'
SNUOpen2018,333,2,A,3,D2 B' D2 B2 L2 B2 F' D2 L' B' U B' D2 L' B D2 U2 B' R
XianCherryBlossom2018,333,1,C,1,L2 F2 D' L2 D' U2 B2 R2 B2 L2 B R' F D B' F' D2 L2 U' F2
CubeIA2018,333,f,A,4,U2 B R2 B D2 B2 F2 L2 R U2 L2 B2 F2 U' B2 F U2 R' D2
PugetSoundSpring2018,333,2,B,1,B2 D' B2 D R2 U' R2 B L2 R F' R' B' D L U L2 D2 U'
NanjingSpring2018,333,2,B,3,R2 D F2 U' R2 F' D' F2 U' R2 L' B2 L' F2 U2 F2 D2
ShanghaiLoveinECNU2018,333,1,D,1,D2 L D2 B2 D2 B2 L2 U2 L' B' U R B2 U' L F2 L R' F'
FecapOpen2018,333,1,B,1,U B2 U2 B2 F2 L2 F2 U B2 D2 U' L B F2 U2 B R' U2 B U2 B2
GreatLakesChampionship2018,333,3,A,1,R2 B' L2 U' L2 D F' R2 D R F' B2 U2 F2 R2 D F2 U'
WesternChampionship2018,333,2,A,1,R2 U2 L' R' U2 F2 U L U' B R2 U2 L2 R B' F2 D'
HefeiSummer2018,333,1,I,2,F2 L2 D U L2 D R2 D R2 U' B R' D' B2 R B U' F2 U
CubingUSANationals2018,333,1,M,2,R' D B' R' L B' L2 U L2 U' L' D L2 U D2 B2 R2 U'
ProjectRadom2018,333,1,A,5,D R2 U2 B2 U2 F2 L2 U F' D F2 D' B2 U' R' F2 R U
CubingUSANorthwestChamps2018,333,2,D,4,U2 R2 F2 R2 U' F2 D F2 U F' D2 L D L D R D' L F
SiouxFallsSummer2018,333,f,A,5,L' U2 R' U2 B2 L2 D2 R' F2 U2 R D B L B D' L' F R F'
CubeHub20Open2018,333,1,D,1,B2 D2 F D2 B' F' D2 U2 R2 D' B' R' F2 D2 L' U B2 F2 D R
IGA2018,333,2,D,1,R2 D2 U2 L' B2 U2 F2 R' B D2 U2 B U2 R' D B R' U L'
SESCCamaqua2018,333,1,C,5,R' B' U' F' L' U' L' F' B R' D2 R2 B2 D2 F2 L B2 L
