name,country,minx
William Gan Wei Ren (颜伟仁),Malaysia,926
Semen Artyukhov,Russia,926
Jose Ortiz Jr.,USA,926
Zhiyuan Ma (马之元),China,926
Tiffany Chien,USA,925
Rafał Waryszak,Poland,925
Ivaylo Ivaylov Vichev,Bulgaria,924
Christian Manuel de Lange,New Zealand,924
Kanting Shi (史勘霆),China,924
Riley Woo,USA,924
Sujai Shakthivel,India,924
Jamie Otsu,Australia,924
Patrick Quach,Australia,924
Joshua Feran,USA,923
Kristiāns Pietkuns,Latvia,922
Pavlo Bondar (Павло Бондар),Ukraine,922
Yexin Zhang (张业鑫),China,922
Cezary Mach,Poland,922
Danny SungIn Park,Korea,922
Paul Mahvi,USA,921
Saavar Bajaj,Australia,921
Calix Tang,USA,921
Zak Kenny,Australia,921
Luke Burong,Australia,921
Richard Jay S. Apagar,Philippines,920
Lucas Kuczaj,Canada,920
Konstantinos Parissis,Greece,920
Dylan Cossin,USA,919
Julian Bürgi,Switzerland,919
Jared Stinson,USA,919
Aedan Bryant,USA,919
Jakob Gunnarsson,Sweden,918
Will Callan,USA,918
Sora Sato,Australia,918
Mitchell Cretan,Australia,918
Matthew Look,Canada,917
Danil Kotenkov (Данил Котенков),Russia,917
Liam Wadek,New Zealand,917
Chun-Xi Roan (阮淳熙),Taiwan,917
Leonard Wetzel,Germany,916
Sheng Cao (曹晟),China,916
Marco Yang,Canada,916
Hargun Singh Tikku,India,916
Doyul Kim (김도율),Korea,915
Ahmet Barış Atlı,Turkey,914
Dmitriy Skakun,Russia,914
Yahia Ahmed Abdallah Elhawy,Egypt,914
Ho Hsieh (謝合),Taiwan,914
Amir Husain,Kazakhstan,914
Tyler Robinson,USA,914
Shao-Heng Hung (洪紹恆),Taiwan,913
Stephen Griggs,USA,913
Isaac Wells,Australia,913
Adrian Oon,Australia,912
Jack McDougall,New Zealand,912
Chong Jen Foong (莊振峰),Malaysia,912
Isaac Vergara Castillo,Mexico,912
Harry Savage,United Kingdom,912
Jan Bentlage,Germany,912
Jiazheng Zhao (赵家正),China,912
Gjorgji Cheshmedjievski,North Macedonia,912
Amelie Dieterich,Germany,911
Daniel Sheppard,United Kingdom,911
Wojciech Piórczyński,Poland,911
Henry Lichner,USA,911
Shanglin Ye,Canada,911
Joel Cetra,Germany,911
Phạm Đức Phước,Vietnam,910
Krish Shah-Nathwani,USA,910
Theo Iván Goluboff,Argentina,910
Jonathan O'Neill,Australia,909
Mantas Urbanavičius,Lithuania,909
Eli Parker,USA,909
Lucas Chung,Australia,908
Ryan Pilat,USA,908
Isaac Langer,USA,908
Deniz Atak,USA,908
Tomáš Szyszkowicz,Czech Republic,908
Daniel Goodman,USA,908
Mitchell Lane,USA,908
Isaac Lai Yin Chung,Canada,908
Iurii Chesnokov (Юрий Чесноков),Russia,907
Serhii Fedorniak (Сергій Федорняк),Ukraine,907
Joel David Hibbert,Australia,907
Sarina Wang,New Zealand,907
Hugo Kinichi Briner,Australia,907
