name,country,clock
Shih-Hao Wang (王士豪),Taiwan,855
Ho Hsieh (謝合),Taiwan,855
Piotr Kogut,Poland,854
Sarina Wang,New Zealand,854
Danil Belik (Данил Белик),Russia,854
Firstian Fushada (符逢城),Indonesia,854
Brandon Harnish,USA,853
Piotr Tokarski,Poland,853
Alex Jung,Korea,853
Sergey Shtatnov (Сергей Штатнов),Russia,852
Elyas Eyou,New Zealand,852
Jeremy Crouther,Australia,851
Assylkhan Meirkhanov (Асылхан Мейрханов),Kazakhstan,851
Aneurin Hunt,New Zealand,850
Yanghong Wu (伍洋弘),China,850
Krystian Czudej,Poland,850
Jonathan Pang,Australia,850
Nguyễn Khánh Ngọc,Vietnam,850
Maciek Skowroński,Poland,850
Earl Joven Suyo,Philippines,850
Rui Qin (秦睿),China,850
Mikhail Kopylov (Михаил Копылов),Russia,849
Oleksandr Seniuk (Олександр Сенюк),Ukraine,849
Karolina Van,Russia,849
Andrey Mozgovoy (Андрей Мозговой),Russia,849
Fan Li (李凡),China,848
Wiktor Lutowski,Poland,848
Xiaowen He (何晓文),China,848
Renato Stopic,Bosnia and Herzegovina,847
Daniel Sheppard,United Kingdom,847
Spondon Nath,India,847
Jialu Zhang (张佳禄),China,846
Pavel Eroshkin (Павел Ерошкин),Russia,846
Chris Mills,United Kingdom,846
Yeon Kyun Park (박연균),Korea,846
Viacheslav Osminin,Russia,845
Gabriel Lincon Souza,Brazil,845
Kyra Joiner,USA,845
Miguel Ángel Cruz Hernández,Mexico,845
Joanna Hołdakowska,Poland,843
Joey Saia,USA,843
Simone Ohler,Germany,843
Henry Lichner,USA,843
Jiankun Shi (石建坤),China,842
Danil Skoromec,Russia,841
Joshua Marriott,USA,841
Ivan Khvatov (Иван Хватов),Russia,840
Krystian Załuski,Poland,840
Hao Liang (梁昊),China,839
Jiaming Wu (吴嘉鸣),China,839
Benjamin Blaikie,New Zealand,839
Bokang Peng (彭博康),China,839
Michael Alexander,Australia,839
Zishuo Zhang (张子硕),China,839
Mufan Long (龙沐凡),China,838
Paweł Duraj,Poland,838
Alexey Yarygin,Russia,838
Alexander Karlov,Sweden,838
