name,country,skewb
Alex Maass,USA,1071
Simon Kellum,USA,1071
Zesheng Li (李泽生),China,1070
Thomas Schmidt,Denmark,1069
Linus Buck,Germany,1067
Thomas Tinlin,Australia,1067
Amy Smith,Australia,1066
Cory Yurkovic,USA,1066
Sora Sato,Australia,1066
Bill Hammill,United Kingdom,1065
Daniil Rublev (Даниил Рублёв),Russia,1065
Mantra Shukla,New Zealand,1065
Szymon Malinowski,Poland,1063
Zuzanna Kozicka,Poland,1063
Zack Hall,Australia,1063
Adrien Auvray Matyn,New Zealand,1063
Xuanwei Liang (梁轩玮),China,1062
Aston Culf,Australia,1060
Aiden Bartlett,USA,1059
Yiyang Chen (陈熠扬),China,1059
Siau Hong Da (蕭宏達),Malaysia,1058
Dmitry Gundin,Russia,1058
Tianze Xu (徐天泽),China,1057
Lev Golub (Лев Голуб),Ukraine,1057
Mykhailo Lagoida (Михайло Лагойда),Ukraine,1057
Joaquin Abarca,Canada,1056
Daniël Kassab,Netherlands,1056
Marcus Moberg,Sweden,1055
Lucas O'Connell,New Zealand,1054
Cale Schoon,USA,1054
Nils Thorben Lang,Germany,1051
Max Siauw,USA,1050
Yujia Wu (吴语嘉),China,1049
Maxim Ilin,Russia,1049
Joshua Hounslow,Australia,1049
Benjamin Grzesiak,United Kingdom,1048
Richard Yiheng Tao,New Zealand,1048
Henry Lichner,USA,1048
Conor Sullivan,Australia,1047
Drew Dickson,USA,1047
Jingbin Li (李晶斌),China,1047
Timothy Castle,USA,1045
Jude Lumley,Australia,1044
Loic Chiang,Singapore,1044
Guiyu Niu (牛桂煜),China,1043
Andy Gong,Australia,1043
Nguyễn Khang Minh,Vietnam,1042
Daniël Veldman,Netherlands,1042
Livia Kleiner,USA,1042
Bartosz Karpiński,Poland,1042
Patrick Kleverlaan,Australia,1042
Ashley Foster,New Zealand,1040
Ivan Polkanov (Иван Полканов),Russia,1039
Kai-Wen Wang (王楷文),Taiwan,1039
Ahmet Çınar Ablak,Turkey,1037
Orkun Efe Dahar,Turkey,1037
Simon Nammensma,Netherlands,1036
Benjamin Gottschalk,USA,1035
Wojciech Barciaga,Poland,1035
Martin Süß,Germany,1034
Tyler Robinson,USA,1033
Adam Marcellus Kelly,USA,1033
Aryeh Honig,USA,1033
Maxence Baudry,France,1032
Zeyu Hu (胡泽宇),China,1031
Daan Kusters,Netherlands,1030
Jiawei Zhang (张嘉伟),China,1029
Mingze Lin (林铭泽),China,1029
Koen van den Berg,Netherlands,1028
Andrey Che,Russia,1028
Milo Black,USA,1028
Alex Van Vugt,Australia,1027
Christopher Lau,United Kingdom,1027
Andrew Sherman,Australia,1027
Nachuan Sun (孙纳川),China,1026
Mikhail Kuzin,Russia,1026
Håvard Færden,Norway,1026
Alejandro Restrepo Echeverri,Colombia,1025
Edward Rust,Australia,1025
Elyas Eyou,New Zealand,1025
Xingkai Yin (尹星凯),China,1024
Lorenzo Mauro,Italy,1024
Conrad Fong,Australia,1024
Lachlan Stephens,Australia,1024
Sergey Marin (Сергей Марьин),Russia,1022
Bence Kiácz,Hungary,1021
Marcus Siu,United Kingdom,1021
Charles Downie,Australia,1020
Aleksey Zuev,Russia,1020
Aquila Janoschka,Australia,1020
Semen Artyukhov,Russia,1020
Linus Laurén,Finland,1019
Joel Cetra,Germany,1019
Ivo Stoutjesdijk,Netherlands,1018
Niko Ronkainen,Finland,1018
Zhao-Zhe Zhong (鍾肇哲),Taiwan,1018
Zhengkai Xu (徐正凯),China,1018
Charlie-George Shadbolt,United Kingdom,1018
Can Ersoy,Turkey,1017
AJ Kamal,USA,1016
Simon Jansson,Sweden,1015
Xi Tan (谭熙),China,1014
Riley Norrid,USA,1014
Carlos Méndez García-Barroso,Spain,1013
Rui Ma (马睿),China,1012
Andrew Bae,USA,1012
Ekaterina Kaneva,Russia,1011
Selim Sungur,Turkey,1011
Luke Van Laningham,USA,1011
Marco Rota,Italy,1011
Jack Pfeifer,USA,1011
Anthony Lafourcade,France,1011
Isaac Langer,USA,1010
Oliver Castledine,United Kingdom,1010
Dmitry Matthew Yaquinto,Russia,1009
Grigoriy Barashkin,Russia,1009
Chan Hui Tung (陳許瞳),Hong Kong,1008
Nikolai Gomelchuk,Russia,1008
Aneurin Hunt,New Zealand,1007
Ole Meindersma,Netherlands,1006
Yunke Zhang (张云柯),China,1006
Harry Owen,United Kingdom,1006
Mihail Stoicescu,Romania,1006
Daniel Fraser,New Zealand,1006
Brian Johnson,USA,1006
Charlie Eggins,Australia,1005
Oleksandr Savchyn,Ukraine,1005
Brian Nguyen,Australia,1005
Mustafa Berke Özcan,Turkey,1003
Lianhao Zhu (褚连皓),China,1003
Nicholas Paul,Australia,1003
Brandon Harnish,USA,1003
Ho Hsieh (謝合),Taiwan,1003
Hassan Khanani,USA,1002
Calven Lipec,Australia,1002
Laura Holzhauer,Germany,1002
Joey Saia,USA,1001
Jingyang Zhang (张敬阳),China,1001
David Epstein,Australia,1001
Kasper Koster,Netherlands,1001
Alexander Bashutkin,Russia,1000
Łukasz Dubicki,Poland,1000
Jay Calter,Australia,1000
Caleb Hall,New Zealand,999
Mikhail Glazov (Михаил Глазов),Russia,998
Vadzim Smirnou,Belarus,998
Knut Skaug Haraldsen,Norway,997
Zaky Kurnia Falah,Indonesia,997
Tong Wang (王瞳),Taiwan,996
Luca Stalpers,Netherlands,995
Patrick Fischer,USA,994
Jacob Chambers,United Kingdom,994
Nikolay Golovenko,Russia,993
Emir Yusuf Çiçekdemir,Turkey,993
Jakub Grzybowski,Poland,992
Marianna Bondi,Italy,992
Tom Noble,Australia,992
Lucas Déglise,France,991
Asher Kim-Magierek,USA,991
Zayd Chaudhry,Australia,991
Roman Shilov (Роман Шилов),Russia,990
Maciek Skowroński,Poland,990
Ihor Kastranets (Ігор Кастранець),Ukraine,990
Ilya Sokolov,Russia,990
William Klauer,USA,990
Xinyun Chen (陈新运),China,990
Kyle Santucci,Canada,989
Zeke Miller,USA,989
Yuhang Sun (孙煜航),China,989
Dawid Wójcik,Poland,988
Yue Gao (高越),China,988
Urho Kinnunen,Finland,988
Tommy Kiprillis,Australia,987
