personId,333fm
2007WEST02,-1
2007VENI01,-1
2007LIBI01,-1
2007MOSE01,-1
2007STOV01,-1
2007LEUN02,-1
2007SHAW01,-1
2007HOSK01,-1
2007MAIS01,-1
2007BRAN01,-1
2007LEUN03,-1
2007MOSE03,-1
2007MART04,-1
2007STRO01,598
2007DUAN01,-1
2007SANM01,-1
2007DOUT01,-1
2007KIMD01,-1
2003FALM01,-1
2007CAVL01,-1
2007YUJA01,-1
2007HALL02,-1
2007INOC01,-1
2007LEEJ02,-1
2007STIL01,-1
2007GOES01,-1
2007VUCK01,-1
2003ATTA01,-1
2007KIMS01,-1
2007SHAB01,-1
2007TYER01,-1
2007STUU01,-1
2007NOVO01,-1
2006MATI01,-1
2007MOKK01,-1
2007RYOO01,-1
2005WALT02,-1
2005ANGO01,253
2007RODR01,-1
2005TOLE01,571
2007AGUA01,192
2005ANGE01,-1
2007KUPF01,101
2005PARI01,188
2005VIDA01,-1
2006DEPE01,-1
2007MEDI01,-1
2006MORE01,-1
2007CONT01,-1
2005NAVA01,113
2007FRAN01,-1
2007PERE01,-1
2007REBU01,-1
2007GOTA01,111
2004OLCI01,-1
2005MUNO01,-1
2005MARI01,-1
2007JIME01,94
2007IRAS01,-1
2007CAFF01,-1
2007REBU02,-1
2005MUNO02,-1
2006FORT01,-1
2007VILA01,143
2007REBU03,-1
2005MORE01,-1
2007MERC02,-1
2004LUIS03,-1
2007IRAS02,-1
2007CONT02,-1
2007SEVI01,-1
2006IRAS01,-1
2007SERR01,-1
2007SCHE02,-1
2007SANC01,583
2007SEMP01,-1
2007MILA01,-1
2007GRAN02,-1
2007GRAN01,-1
2007BATL01,-1
2007FIDE01,111
2007TAMB01,111
2007ALCA01,151
2007CERP02,175
2007CINO01,509
2007KAWA01,-1
2007KURO01,125
2007LAFE01,124
2007RIBE01,142
2007CAPR01,-1
2007BRIT01,113
2007TATE01,-1
2007CERP01,-1
2007LAFE02,-1
2007MICH01,-1
2007SANT02,-1
2007ROCH01,116
2007CAMP01,-1
2007GOIS01,-1
2007BRAU01,111
2007FILH01,-1
2007PECC01,-1
2007REIS01,-1
2007GALL01,-1
2007HOLD01,-1
2007HOLD02,-1
2007NAKA04,-1
2007HEID01,-1
2007HOLD03,-1
2007YUNQ01,977
2007FUBO01,442
2007ZHUH01,-1
2007YIWE03,-1
2007LUCH02,109
2007YITI01,-1
2007JION01,-1
2007ZHEN02,-1
2007MING01,54
2007QIAN01,-1
2007ZEZH01,-1
2007YUNS01,-1
2007MENG01,-1
2007YIWE01,-1
2007PENG03,-1
2007XING01,-1
2007TING01,-1
2007KAIH01,-1
2007CHAN13,-1
2007DANY01,116
2007MING02,-1
2007GUOS01,-1
2007ZHAO01,-1
2007XIAN01,-1
2007GEQU01,-1
2007JIEO01,-1
2007LARS01,-1
2007ZUQU01,-1
2007GUOL01,-1
2007YAOC01,-1
2007YUEP01,-1
2007YANG03,-1
2007SHIJ01,-1
2007FANG01,-1
2007MINW01,-1
2007XINZ01,-1
2007YAZH01,-1
2007RUIQ01,-1
2007JIAC01,-1
2007XIND01,-1
2007RUIX01,-1
2007HAOY02,-1
2007YANG04,-1
2007YUXU01,-1
2007BOSH01,-1
2007WEIW01,-1
2007ZHUO01,-1
2007HAOW01,-1
2007XIUJ01,-1
2007YONG03,-1
2007SHUF01,-1
2007XIAO02,-1
2007HANZ01,-1
2007FANZ01,-1
2007SHUO01,-1
2007HOLM01,117
2007LUND01,140
2005GAIN01,-1
2007KRIS01,239
2007CLAE03,114
2005ORST01,-1
2005ASPE01,-1
2007CLAE01,126
2005GUST01,111
2007KIMB01,-1
2007BERG01,-1
2007CLAE02,-1
2006ASPE01,-1
2007HOLM02,131
2007JOHA01,-1
2007WALL02,-1
2007RUND01,-1
2007PRIN01,-1
2007KIMB03,-1
2007KOLL01,463
2007KIMB02,-1
2007LUTH01,-1
2007MALL01,98
2007DUSS01,98
2007WATI01,152
2007PERD01,165
2006BREL01,-1
2007LEEN01,-1
2007AMAN01,-1
2007BOUR01,-1
2007LEMO01,41
2007PIBA01,-1
2007DJIA01,123
2007PLAN01,-1
2007BOUC01,-1
2008ANGU01,209
2007PAPA01,194
2007BAUT01,-1
2007MANZ01,-1
2007MERC01,-1
2008CALA01,-1
2007DAEP01,-1
2008BUEN01,-1
2007NEPU01,-1
2007LUCH01,374
2007ENRI01,-1
2008DINO01,-1
2007ORTE01,-1
2007ROGO01,-1
2008DOCT01,-1
2007SANT01,-1
2007NABL01,-1
2008MANA01,-1
2007UYLY01,-1
2008CORP01,-1
2008ANGE01,-1
2008DELA01,-1
2008GUZM01,-1
2008ABAN01,252
2008DAGA01,-1
2008MONC01,-1
2007UYGI01,-1
2007PACI01,-1
2007DIAZ02,-1
2008IGNA01,-1
2008ESTE02,-1
2008CAST01,-1
2008ROJA01,-1
2008MALL01,-1
2008MONT01,-1
2008ESTE01,-1
2007LIMO01,-1
2007MART03,-1
2008IGNA02,-1
2008BAGU01,-1
2008RENI01,-1
2008SIMB01,-1
2008RAMI01,-1
2008RENI03,-1
2008RENI02,-1
2008TORR01,-1
2007HIRA02,-1
2008SASA01,-1
2006NISH01,726
2005UEDA01,121
2008KINJ01,-1
2007CHID01,-1
2008KANN01,-1
2006MURA01,189
2006TABU01,110
2005IDEK01,-1
2005IDEK02,-1
2006IDEK01,-1
2005TOMO01,-1
2008TOMO01,-1
2007OMUR01,909
2007HYUN01,-1
2007JUNB01,-1
2006HYUN01,-1
2006MYEO01,-1
2007KYOU01,-1
2008YONG02,-1
2008YUNS02,471
2006YOON01,-1
2006CHAN08,-1
2007GOHO01,639
2006SEUN02,222
2008INHE01,-1
2008JEON01,-1
2006SEON01,-1
2008BUMS01,-1
2007JEON01,-1
2008JIWO01,-1
2008HYUN03,-1
2007UIYO01,-1
2007JEEH01,-1
2006JAEY01,224
2007JAEJ02,-1
2007YOUN04,711
2006SEUL01,-1
2008JAEW01,-1
2008SEOJ01,-1
2008KEON01,177
2008SEHA01,-1
2008SANG01,-1
2008HANJ01,-1
2008CHAN02,-1
2007SEUN03,-1
2007DONG01,-1
2008KWAN02,-1
2008YOHA01,-1
2006YOUN02,-1
2007DOHY01,-1
2007KWAN02,-1
2008GUNH01,-1
2008TAEY01,-1
2008JEAB01,-1
2008JAEM01,320
2008JIHY01,-1
2008HYUN02,-1
2008JISU01,-1
2007SOOA01,-1
2008KWAN01,-1
2008INSU01,-1
2008YEBO01,-1
2008SUNG03,-1
2007YULH01,775
2008WOOI01,-1
2008DAEK01,-1
2008JISE01,-1
2007JAEY02,-1
2007SUNG01,-1
2007SEUN02,-1
2007JUNM01,-1
2006HASE01,-1
2008JONG01,-1
2008SEON01,-1
2007SEUN04,101
2006KYUN02,-1
2007SEOK01,-1
2008JUNG01,-1
2006CHAN05,-1
2007JAEH02,-1
2007HYOE01,-1
2008YOUN01,-1
2008BYUN01,-1
2008DONG02,683
2007MINS02,-1
2008KANG01,-1
2007JOON01,-1
2006KYUN01,-1
2006WONB01,-1
2008EUNM01,-1
2008JIHO01,-1
2008BYEO01,164
2008CHAN01,-1
2008SUNG02,-1
2008JONG02,-1
2007HANW01,-1
2007JINH01,-1
