name,country,sq1
Henri Gerber,Germany,782
Luke Pearson,USA,782
Ziyue Yang (杨子跃),China,782
Junkai Yang (杨竣凯),China,781
Damiano Di Paola,Italy,781
Miguel Antonio Fernandez Guerrero,Dominican Republic,780
Alexei Sinyavin,USA,780
Szymon Bereza,Poland,780
Jan Bielenia,Poland,780
Frederick Zheng,USA,780
Charles Jerome,USA,780
Michael Larsen,USA,780
Walker Welch,USA,779
Darcy Way,Australia,779
Will Fairfax,New Zealand,779
Federico Da Fonseca,Argentina,779
Sukant Koul,India,779
Chenchen Ge (葛陈晨),China,779
Chia-Liang Tai (戴嘉良),Taiwan,778
Yurii Riabov (Юрій Рябов),Ukraine,778
Isaac Latta,New Zealand,778
Lev Bruskov (Лев Брусков),Russia,778
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,778
Destin Shulfer,USA,778
Bertie Longden,United Kingdom,777
Wojciech Kisała,Poland,777
Aaron Do,USA,777
Peter Grassard,France,777
Muhammad Faeyza Koda,Indonesia,777
Maxim Meshcheryakov,Russia,777
Guus de Wit,Netherlands,777
Sam Datson,Australia,777
Luke Griesser,USA,777
Mátyás Ondok,Hungary,776
Bartosz Karpiński,Poland,776
Gamaliel Jimenez Oropeza,Mexico,776
Roberts Dreijers,Latvia,776
Leeah Gard-Spaulding,Australia,776
Yuri Donati,Italy,776
Nicholas Patterson,Canada,776
Francisco Moraes Mandalozzo,Brazil,776
Svyatoslav Chekalin (Святослав Чекалин),Russia,775
Hudson Moore,USA,775
Igor Tarasov (Ігор Тарасов),Ukraine,774
Arnav Arora,India,774
Hudson Akarlilar,USA,774
Oliver Fritz,Germany,773
Adam Marcellus Kelly,USA,773
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,773
Frederico Canal Gomes,Brazil,773
Emil Khalimov,Russia,772
Dawid Mazurek,Poland,772
Gjorgji Cheshmedjievski,North Macedonia,772
Alisher Soltan (Алишер Солтан),Kazakhstan,771
Aryan Kejriwal,USA,771
Karam Al-Robaie,United Kingdom,771
Aayas Dhoj Joshi,Nepal,771
Yu-Kai Chen (陳宇楷),Taiwan,771
Danil Skoromec,Russia,771
Igor Kolosov (Игорь Колосов),Russia,771
Tripp Peters,USA,771
Zijun Liu (刘子钧),China,770
Ihor Voloshyn (Ігор Волошин),Ukraine,770
Victor Oster Süberkrüb,Denmark,770
Yunhui Zhao (赵云晖),China,770
Germán Yesid Cardona Fajardo,Colombia,770
Vladimir Khisamov (Владимир Хисамов),Russia,770
Phùng Đức Thắng,Vietnam,770
Ewan Geertson,New Zealand,769
Finn van der Maas,Netherlands,769
Yan Jin (金岩),China,769
Roy Lee,USA,769
Derek White,USA,769
David Addison Reid,USA,769
Daniel Porter,USA,769
Rubén López de Juan,Spain,769
Ivan Kulikov (Иван Куликов),Russia,768
Akash Rupela,India,768
Noah Hite,USA,768
Shuto Ueno (上野柊斗),Japan,768
Yuji Yoshida,Philippines,768
Vincent Hartanto Utomo,Indonesia,768
Eli Parker,USA,768
Callum Hales-Jepp,United Kingdom,768
Matthias Schegers,Belgium,768
Roman Kremer (Роман Кремер),Russia,768
Luca Spataro,USA,768
Carter Thomas,USA,767
Yaji Liang (梁雅吉),China,767
Santiago Peña Urrego,Colombia,767
Konstantin Kuznetsov (Константин Кузнецов),Russia,767
Alex Loor,Ecuador,767
Otgonbat Zorigt (Зоригт Отгонбат),Mongolia,767
Brandon Pierel,USA,767
Jakub Miśko,Poland,767
Carlos Sullca Mejía,Peru,767
Benjamin Tibbetts,USA,767
Sébastien Auroux,Germany,767
Mariia Hunchak (Марія Гунчак),Ukraine,766
Leo Lindqvist,Sweden,766
Danila Ryabinin,Russia,766
Jay Calter,Australia,766
