name,country,pyram
Maciej Jabłoński,Poland,1077
AJ Kamal,USA,1077
Dominic Heising,USA,1077
Daniel Sheppard,United Kingdom,1077
Akın Köse,Turkey,1077
Yuxuan Huang (黄宇轩),China,1077
Łukasz Burliga,Poland,1076
Yichen Ma (马奕宸),China,1076
Max Walaszek,USA,1075
Zhe Wang (汪哲),China,1075
Alan Siburian,Australia,1075
Muhammad Dipa Budiono,Indonesia,1075
Danylo Harbar (Данило Гарбар),Ukraine,1075
Richard Yiheng Tao,New Zealand,1075
Joe Davis,Australia,1074
Tyler Johnson,USA,1074
Aaron Paskow,USA,1073
Sarina Wang,New Zealand,1073
Christian König,Germany,1073
Ziyu Wu (吴子钰),China,1073
Yuxuan Wu (吴雨轩),China,1072
Max Bradley-McFawn,Australia,1072
Jiyi Wang (王吉怡),China,1072
Myles Segal,Australia,1072
Ekaterina Kaneva,Russia,1072
Andrés Rodríguez Galán,Spain,1071
Jakob Gunnarsson,Sweden,1071
Ilya Beylin (Илья Бейлин),Russia,1071
Yifan Wang (王逸帆),China,1069
Ilya Sokolov,Russia,1069
Benjamin Gottschalk,USA,1069
Jules Desjardin,France,1068
Jan van Dorst,Netherlands,1068
Jack Stewart,USA,1068
Marcus Siu,United Kingdom,1068
Shao-Heng Hung (洪紹恆),Taiwan,1068
Nguyễn Khang Minh,Vietnam,1068
Aayush Shah,India,1068
Lincheng Cai (蔡林成),China,1068
Chan Hui Tung (陳許瞳),Hong Kong,1067
Magnus Søndergaard Byrne,Denmark,1067
Tyler Williams,Australia,1066
Ben Stokes,United Kingdom,1066
Dominic Lumsden,United Kingdom,1065
Dylan Chan,USA,1065
Orkun Efe Dahar,Turkey,1065
Taj Greenough,Australia,1065
Markuss Pietkuns,Latvia,1065
Shang Liu (刘尚),China,1065
Krish Shah-Nathwani,USA,1064
Liam Wadek,New Zealand,1064
Valerio Locatelli,Italy,1063
Anatole Volongo,France,1063
Tobiasz Urbanowicz,Poland,1063
Alevio Hamizan Ersha,Indonesia,1063
Alex Hirschhorn,Australia,1063
Henri Gerber,Germany,1063
Taine Cassar,Australia,1063
Zayn Khanani,USA,1063
Mengni Yan (颜梦妮),China,1063
Patrick Kleverlaan,Australia,1062
Donna Cook,Australia,1062
River Fletcher,Australia,1062
Cristóbal Opazo Bravo,Chile,1062
Maxim Brednev (Максим Бреднев),Russia,1062
Sam Sieracki,Australia,1061
Yang Liu (刘洋),China,1061
Simon Nilsson,Sweden,1061
Michael Alexander,Australia,1061
Zhuoyang Li (李卓阳),China,1061
Oscar Watson,Australia,1060
Tucker Chamberlain,USA,1060
Maheran Chowdhury,Australia,1060
Benjamin Walker,Australia,1060
Henry Lichner,USA,1060
Peter Hibl,USA,1060
Jacob Eoin Gipp,Canada,1060
Li-Zhi Findhammer,Netherlands,1060
Aidan Cerenzie,USA,1060
Qinxi Wei (韦钦曦),China,1059
Levi Eyou,New Zealand,1059
Kyle Polage,USA,1059
Timo Norrkniivilä,Finland,1059
Kyson Lovery,Australia,1058
Mingxuan Wu (吴明轩),China,1058
Muhammad Faeyza Koda,Indonesia,1058
Oliver Leigh,Australia,1058
Chenhao Ma (马晨皓),China,1058
Chengyang Du (杜成洋),China,1057
Michał Mlostek,Poland,1057
Illia Honcharuk (Ілля Гончарук),Ukraine,1057
Kevin Min,Korea,1057
Joel Cetra,Germany,1057
Jie Wang (王杰),China,1056
Cameron Miller,USA,1056
Naren Ramesh,India,1056
Benjamin Lilleøen Bakken,Norway,1056
Kabir Johal,Canada,1056
Justin Chang,China,1056
Remo Pihel,Estonia,1056
Samuel Tie,Australia,1056
Liam Pipia,Australia,1056
Jieying Feng (冯洁莹),China,1056
Sicheng Gu (顾思成),China,1056
Yulun Wu (吴宇伦),China,1055
Daxton Westlake,USA,1055
Lennon Hughes,Australia,1055
Shuaihao Chen (陈帅豪),China,1055
Muhammed Pusat Özçelik,Turkey,1055
Gert-Jan Broere,Netherlands,1055
Xavier Evans,New Zealand,1054
Thomas Schmidt,Denmark,1054
Veenayak Bhola,India,1053
Caleb Kinman,USA,1053
Isaac Latta,New Zealand,1053
Kaiyang Gao (高凯阳),China,1053
Jacob Kotai,Canada,1053
Tommy Cherry,USA,1053
Yizhou Wang (王翼洲),China,1052
Rustin Haderlie,USA,1052
Fabian Andrey Montenegro Barrero,Colombia,1052
Federico Da Fonseca,Argentina,1052
Shangtong Fu (傅上桐),China,1051
John Hornacek,USA,1051
Amiel Engel,Netherlands,1051
Purab Shah,India,1051
Chia-Liang Tai (戴嘉良),Taiwan,1051
Jessica Ying,Canada,1051
Suen Ming Chi (孫銘志),Hong Kong,1051
Nicholas Patterson,Canada,1051
Adam Narbutas Jørgensen,Denmark,1050
Eli Jay,United Kingdom,1050
Zhaoen Wu (吴兆恩),China,1049
Alex Maass,USA,1049
Qibei Li (李骐贝),China,1048
Ilya Parchuck,Russia,1048
Ziqi Ding,China,1048
Alexander Shipulin,Russia,1047
Yuchen Wang (王雨辰),China,1047
Zhaohe Wang (王昭赫),China,1047
Jensen Belen-Brown,Canada,1047
Sebastiano Benato,Uruguay,1047
Zekang Xia (夏泽康),China,1046
Luc Rabeyrin,France,1046
Marcos Gabriel Gomes,Australia,1046
Luka Stošić,Serbia,1046
Jeremy Foott,Australia,1045
Tongming Shi (石童鸣),China,1045
Josephine Siburian,Australia,1045
Kyeongmin Choi,Korea,1044
Joshua Broderick Phillips,USA,1044
Lachlan Stephens,Australia,1044
Snehashish Chakravarti,India,1044
Camerone Chin,New Zealand,1044
Connor Sherrin,Australia,1044
Marco Giordano,Italy,1044
Cheng-Ying Lee (李承穎),Taiwan,1044
Martin Fronescu,Romania,1044
Tianyu Sun (孙天宇),China,1043
Liam Heimann,Australia,1043
Hongyuan Fu (傅泓源),China,1043
Jack Pfeifer,USA,1043
Eli Panetta,Australia,1042
Yusuf Güzeler,Turkey,1042
Mykhailo Akhunov (Михайло Ахунов),Ukraine,1042
Luke Heath-Edwards,New Zealand,1042
Juan David Carmona Vásquez,Colombia,1042
Gana Visank Ventrapragada,USA,1042
Lev Bruskov (Лев Брусков),Russia,1041
Toby Coote,Australia,1041
Livia Kleiner,USA,1041
Ivo Stoutjesdijk,Netherlands,1041
Hisashi Imai,Japan,1041
Ben Wakelin,Australia,1041
Prerak Gada,India,1041
Eve Carroll,Australia,1040
Jinyu Zhang (张锦誉),China,1040
Tom Noble,Australia,1040
Logan Day-Richter,USA,1039
Brian Nguyen,Australia,1039
Siyuan Liu (刘思源),China,1039
Samuel Fang,USA,1039
Jackson Abbott,Australia,1039
Roman Ponikarovskiy,Russia,1038
Ruihang Xu (许瑞航),China,1038
Kelian Zhang,Netherlands,1038
Jan Bentlage,Germany,1038
Aaron Spiller,Australia,1038
Shengyuan Ye (叶梓熠),China,1038
Dmitry Kudryashov (Дмитрий Кудряшов),Russia,1038
Guanbo Wang (王冠博),China,1037
Hongrun Li (李虹润),China,1037
Yaxing Wang (王亚兴),China,1037
Oliver Drew,Australia,1036
Tan Yong Jie,Malaysia,1036
Ian Holmes,Netherlands,1036
Zhenyu Wang (王振宇),China,1035
Jason Ostdiek,USA,1035
Piyush Kothari,India,1035
Yue Gao (高越),China,1035
Lucas Vojkovic,Australia,1035
Yuetong Zhu (朱玥曈),China,1034
Conor Sullivan,Australia,1034
Yun-Rong Chiang (江昀容),Taiwan,1034
Dylan Johnston,Australia,1034
Garrett Molinari,USA,1034
Oleksandr Seniuk (Олександр Сенюк),Ukraine,1034
Zihang Wang (王子杭),China,1033
Emmanuel Rajapandian,India,1033
Nate Mochrie,New Zealand,1033
Sebastian Bock,Australia,1033
Timur Imanov,Russia,1033
Oskar Dinnendahl,Australia,1033
Zheng Chen (陈政),China,1032
Mateusz Gil,Poland,1032
Nikita Burmistrov (Никита Бурмистров),Russia,1032
Miller Atkinson,Australia,1032
Leo Millar,Australia,1032
Alex Burns,United Kingdom,1032
Jin-Han Guo (郭景翰),Taiwan,1032
Hector David Martinez Argaez,Colombia,1032
Szymon Brzana,Poland,1032
Giovanni Centili,Italy,1031
Robert Yau,United Kingdom,1031
Jinlin Jiang (江锦林),China,1031
Stefano Coulter,Canada,1031
Rhys Rogan,Australia,1031
Weikang Zheng (郑炜康),China,1031
Stanley Chapel,USA,1031
Tobiasz Rychlik,Poland,1030
Mustafa Demir Soytürk,Turkey,1030
Benjamin Shurmer,Australia,1030
Dong Xia (夏东),China,1030
Timo Günthardt,Switzerland,1030
Samuel Low,USA,1029
Thomas Sonnenberg Jarner,Denmark,1029
Nicolás Irenco Peña Henríquez,Chile,1029
Jeann Valdez,Australia,1029
William Barlow,New Zealand,1029
Jack Samuel Masciulli,Australia,1029
Yutong Liu (刘昱彤),China,1029
En-Tzu Lin (林恩慈),Taiwan,1029
Kajetan Opach,Poland,1029
Tom Richards,Australia,1029
Finn van der Maas,Netherlands,1029
Tyler Robinson,USA,1028
Ryan Bernardo,USA,1028
Kanting Shi (史勘霆),China,1028
Mitchell Hum,USA,1028
